Provide,code,Population,7.5,7.5-10,10-12,12-16-05,16.5-19.5,19.5-27,27-36,36-48,48-60,60
Iran,99,20350,731,567,570,1548,1375,3813,3894,3371,1847,2634
East Azerbijan,3,602,12,7,11,38,31,140,127,107,54,75
West Azerbaijan,4,527,55,18,23,63,44,131,85,63,24,21
Ardabil,24,504,24,9,19,43,36,109,93,78,41,52
Isfahan,10,685,13,18,11,34,40,120,151,127,64,107
Alborz,30,424,1,4,4,3,7,45,88,112,61,99
Ilam,16,478,10,15,8,46,39,103,91,82,42,42
Bushehr,18,581,9,14,17,44,30,91,102,118,65,91
Tehran,23,1527,3,8,5,31,38,163,256,266,217,540
Charmahal,14,677,24,16,7,39,48,128,124,131,84,76
South khorasan,29,650,41,28,30,66,41,150,118,91,34,51
Razavi khorasan,9,765,24,23,25,80,59,172,121,110,65,86
North khorasan,28,712,28,24,25,91,59,150,110,97,45,83
Kuzestan,6,663,7,4,9,41,44,146,134,135,66,77
Zanjan,19,609,29,13,23,50,46,108,128,93,47,72
Semnan,20,480,9,8,7,39,34,150,125,57,21,30
Sistan,11,808,175,84,75,88,54,102,87,55,44,44
Fars,7,693,7,16,12,50,51,129,133,130,70,95
Qazvin,26,420,3,4,7,21,18,102,111,79,39,36
Qom,25,539,3,5,5,39,43,117,126,100,48,53
Kurdistan,12,505,10,7,11,44,56,141,102,59,42,33
Kerman,8,516,34,23,32,74,48,91,97,51,31,35
Kermanshah,5,665,14,19,17,53,58,146,141,122,47,48
Kohkiloyeh,17,539,9,10,6,24,29,91,116,103,67,84
Golestan,27,1073,37,49,50,103,103,174,185,165,87,120
Gillan,1,900,23,23,22,53,46,143,198,165,102,125
Lorestan,15,473,18,17,13,51,40,85,81,84,32,52
Mazandaran,2,471,2,3,7,13,20,64,110,101,61,90
Markazi,0,590,21,25,15,43,40,112,127,108,60,39
Hormozgan,22,895,27,26,34,72,71,126,147,164,89,139
Hamedan,13,774,39,33,25,85,65,169,151,116,39,52
Yazd,21,605,20,14,15,27,37,115,129,102,59,87
